model,architecture,initialization,test_week,slice_type,event_type,observation_slice,match_count,alliance_count,actual_score_mean,predicted_score_mean,mean_bias_predicted_minus_actual,alliance_score_mae,alliance_score_rmse,score_differential_rmse,actual_score_p01,actual_score_p99,predicted_score_p01,predicted_score_p99
ridge,additive-control,pre-2026-prior,6,observation_slice,all,high,11,22,320.8181818181818,251.2389297482566,-69.57925206992527,83.84541270624378,109.03263078229382,93.48489917265631,106.77,638.75,8.100187957393558,553.9682879678452
ridge,additive-control,pre-2026-prior,6,observation_slice,all,low,802,1604,163.07980049875312,95.20098234889693,-67.87881814985619,125.22357088175005,165.957041177876,212.1941020254131,18.0,496.8800000000001,-232.90978099298488,571.978562493228
ridge,additive-control,pre-2026-prior,6,observation_slice,all,medium,1047,2094,192.69293218720154,124.81418702715972,-67.8787451600418,100.08900299373587,129.33724798834686,142.5888731277345,23.0,558.0700000000002,-100.82403121494237,516.5002503191828
ridge,additive-control,pre-2026-prior,8,observation_slice,all,high,1356,2712,314.63495575221236,245.63354549131995,-69.00141026089244,95.05780755341713,118.19412863624997,125.23123741079172,51.22,662.4499999999994,32.5677361689156,552.850004456363
ridge,additive-control,pre-2026-prior,8,observation_slice,all,low,264,528,215.8219696969697,137.91403747613148,-77.90793222083822,139.62468405268737,192.0372456614601,244.0762460655874,21.0,553.0300000000002,-341.0037078857701,566.4120129533636
ridge,additive-control,pre-2026-prior,8,observation_slice,all,medium,22,44,222.0681818181818,173.92917413215568,-48.139007686026154,85.44430799297534,113.05736522391517,140.1641512678368,34.46,611.83,13.177855277415905,400.57418344693747
ridge,additive-control,pre-2026-prior,10,observation_slice,all,high,1067,2134,436.45735707591376,373.60238736075553,-62.8549697151582,113.92737586531872,145.08495629318816,165.8621548956559,117.0,799.3400000000001,78.39799391571667,735.3945007281833
ridge,additive-control,pre-2026-prior,10,observation_slice,all,low,2,4,375.5,218.21424174347075,-157.28575825652925,157.28575825652925,167.995537588912,115.86401339311973,287.39,596.15,144.1683578039477,352.6759645103107
ridge,additive-control,pre-2026-prior,10,observation_slice,all,medium,50,100,384.9,274.7440051633715,-110.15599483662854,162.1414673101531,201.70106389896804,228.46503006675098,59.58,724.4600000000003,-7.501436594587673,567.9059857514014
rolling-pridge,additive-control,pre-2026-prior,6,observation_slice,all,high,11,22,320.8181818181818,245.44090370676696,-75.3772781114148,85.15367922623027,115.0570765958075,92.508805780948,106.77,638.75,-5.54415511196008,556.1159746953392
rolling-pridge,additive-control,pre-2026-prior,6,observation_slice,all,low,802,1604,163.07980049875312,91.20485219221871,-71.8749483065344,119.30961613347037,153.69781285171723,190.70283073588357,18.0,496.8800000000001,-194.94806683942218,491.6316525630557
rolling-pridge,additive-control,pre-2026-prior,6,observation_slice,all,medium,1047,2094,192.69293218720154,118.41944665812167,-74.27348552907986,101.71945711968526,129.72764917748506,134.49157742029843,23.0,558.0700000000002,-111.94816133536145,455.35929069135443
rolling-pridge,additive-control,pre-2026-prior,8,observation_slice,all,high,1356,2712,314.63495575221236,254.95425290015893,-59.68070285205351,91.33633732361619,113.88490621540357,126.72770619455133,51.22,662.4499999999994,19.15305378323848,590.1819424361033
rolling-pridge,additive-control,pre-2026-prior,8,observation_slice,all,low,264,528,215.8219696969697,136.53112672578177,-79.29084297118791,139.1168468114131,180.80134504815373,214.67784193690164,21.0,553.0300000000002,-242.52617390233874,574.2704330312621
rolling-pridge,additive-control,pre-2026-prior,8,observation_slice,all,medium,22,44,222.0681818181818,171.54102770347347,-50.527154114708374,91.02900039848754,116.70273935362042,139.8684151474728,34.46,611.83,1.8693654091066052,420.96461065144564
rolling-pridge,additive-control,pre-2026-prior,10,observation_slice,all,high,1067,2134,436.45735707591376,385.48241886733194,-50.97493820858186,110.13783096412429,140.17599943923932,165.24332081434554,117.0,799.3400000000001,71.48491351762978,758.9959425126677
rolling-pridge,additive-control,pre-2026-prior,10,observation_slice,all,low,2,4,375.5,213.75560294922641,-161.7443970507736,161.7443970507736,175.8505263844709,137.55163049374156,287.39,596.15,126.17613109827096,341.11015606026797
rolling-pridge,additive-control,pre-2026-prior,10,observation_slice,all,medium,50,100,384.9,280.2115483246316,-104.68845167536846,160.85411397090854,199.47493602763586,237.79611270840454,59.58,724.4600000000003,-15.7486043210923,544.407387788219
teammate-set,teammate-set,pre-2026-prior,6,observation_slice,all,high,11,22,320.8181818181818,248.14134615416103,-72.6768356640208,93.93908435514322,117.10891105390505,102.16620359321702,106.77,638.75,68.47227574179215,401.09666646039705
teammate-set,teammate-set,pre-2026-prior,6,observation_slice,all,low,802,1604,163.07980049875312,112.60933145946437,-50.47046903928875,69.24038485325947,93.10116771164977,112.57081174427196,18.0,496.8800000000001,24.279434259376092,359.4834955064129
teammate-set,teammate-set,pre-2026-prior,6,observation_slice,all,medium,1047,2094,192.69293218720154,133.66569367141324,-59.027238515788284,74.13474380801881,95.73975030233936,103.43140795183106,23.0,558.0700000000002,28.815982125883252,395.762778287642
teammate-set,teammate-set,pre-2026-prior,8,observation_slice,all,high,1356,2712,314.63495575221236,249.3082610552003,-65.3266946970121,88.87093050456534,112.22432935994786,123.20464759884607,51.22,662.4499999999994,69.03371328756748,456.6945801127874
teammate-set,teammate-set,pre-2026-prior,8,observation_slice,all,low,264,528,215.8219696969697,153.79642277722132,-62.02554691974839,83.04430224284502,105.56809460294267,116.38418764458046,21.0,553.0300000000002,31.716970961921174,419.3910532558665
teammate-set,teammate-set,pre-2026-prior,8,observation_slice,all,medium,22,44,222.0681818181818,160.43331844359898,-61.63486337458285,75.96166271735702,108.94759897632274,139.9390110272081,34.46,611.83,47.59047742817393,394.0099510274021
teammate-set,teammate-set,pre-2026-prior,10,observation_slice,all,high,1067,2134,436.45735707591376,363.3623849459859,-73.09497212992791,108.47753742801936,136.9493777645432,155.0479919570883,117.0,799.3400000000001,159.4960409832118,512.2071269389786
teammate-set,teammate-set,pre-2026-prior,10,observation_slice,all,low,2,4,375.5,328.6328634581379,-46.867136541862145,108.52568001420758,121.94117260661544,59.84305695723289,287.39,596.15,189.10348555496327,408.8939629346022
teammate-set,teammate-set,pre-2026-prior,10,observation_slice,all,medium,50,100,384.9,311.7869609523015,-73.11303904769846,114.70690135072456,140.31279268018127,169.5248607371829,59.58,724.4600000000003,123.49959066446331,489.172961858635
additive,additive,pre-2026-prior,6,event_type_observation,0,low,526,1052,176.01425855513307,133.88385729693638,-42.13040125819671,76.40767769701478,104.07325868547166,134.54054610092513,17.509999999999998,542.7200000000003,38.91159625762008,260.61100078030086
additive,additive,pre-2026-prior,6,event_type_observation,0,medium,75,150,275.72,194.08197727812802,-81.63802272187196,99.72002045893511,123.50296656485514,130.39541776533503,42.41,570.9699999999996,93.16957331908986,333.6342932009537
additive,additive,pre-2026-prior,6,event_type_observation,1,high,11,22,320.8181818181818,218.09982125300078,-102.71836056518106,114.10605982448988,150.17847922272813,139.82477443734882,106.77,638.75,108.24987120258207,346.46311054685157
additive,additive,pre-2026-prior,6,event_type_observation,1,low,276,552,138.42934782608697,119.97908544366464,-18.45026238242232,60.116526545405115,80.1928903742961,108.54324210339142,18.0,445.0,20.31663282318162,249.14217742385463
additive,additive,pre-2026-prior,6,event_type_observation,1,medium,972,1944,186.28652263374485,143.73315948403578,-42.553363149709064,70.79980590767906,96.41262098615837,118.10570018615007,23.0,557.5699999999999,51.13039935954703,323.930219373371
additive,additive,pre-2026-prior,8,event_type_observation,0,low,264,528,215.8219696969697,144.88541308926835,-70.93655660770135,89.88324145765397,113.47303217068404,117.98865811109724,21.0,553.0300000000002,27.122358416869254,398.0739616758106
additive,additive,pre-2026-prior,8,event_type_observation,2,high,326,652,277.8174846625767,213.4396536821334,-64.37783098044332,87.03863181091985,108.73760431873906,118.96921295216514,62.51,516.96,78.57803490515451,389.90743159032564
additive,additive,pre-2026-prior,8,event_type_observation,5,high,1030,2060,326.2878640776699,257.54205616447894,-68.74580791319096,95.27080601097033,120.16783050666723,134.64434143888758,50.59,691.4100000000001,98.79877707963006,491.9455796405402
additive,additive,pre-2026-prior,8,event_type_observation,5,medium,22,44,222.0681818181818,172.35193119290633,-49.7162506252755,85.98599108167978,119.68041947636631,163.94068179618745,34.46,611.83,81.88904190247469,326.63943911474405
additive,additive,pre-2026-prior,10,event_type_observation,3,high,1067,2134,436.45735707591376,342.09045972481863,-94.3668973510951,121.08324556716151,149.83453508680608,156.2062218190642,117.0,799.3400000000001,153.67051308814166,596.9617975925777
additive,additive,pre-2026-prior,10,event_type_observation,3,low,2,4,375.5,243.61893905371,-131.88106094628995,150.89507217236007,192.59267614468266,117.3893556688993,287.39,596.15,116.51405456647507,323.50545988129056
