supervision_mode,architecture,seed,epoch,scope,probability_variant,bin,count,mean_prediction,observed_rate
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,2,13,0.24513435963564392,0.38461538461538464
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,3,12,0.3637067642278969,0.4166666666666667
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,4,10,0.44543221046018333,0.8
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,5,9,0.5365866375012026,0.6666666666666666
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,6,11,0.6494965695895266,0.5454545454545454
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,7,16,0.7490928302919605,0.6875
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,8,19,0.8449729170421364,0.7894736842105263
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,9,17,0.9506667643109789,0.8235294117647058
baseline,direct-total-pridge,control,0.0,division:2026hop,raw_pred_red_win_probability,0,18,0.04281964283205406,0.1111111111111111
baseline,direct-total-pridge,control,0.0,division:2026hop,raw_pred_red_win_probability,1,18,0.13935949449570068,0.16666666666666666
baseline,direct-total-pridge,control,0.0,division:2026hop,raw_pred_red_win_probability,2,11,0.2389001549461959,0.09090909090909091
